BeginSample,,,,,
,_SampleName," ""15-0257-Pull with PreLoad.mss""",,,
,_MethodName," ""Pull Test with PreLoad.msm""",,,
,TestSpeed,12.5,"  ""mm/min""",,
,LoadLimitHigh,70000,"  ""N""",,
,LoadLimitLow,-70000,"  ""N""",,
,SampleInfo2," ""Ed""","  """"",,
,SlackPreLoad,20,"  ""N""",,
,SecondSpeed,50,"  ""mm/min""",,
,SampleInfo1," ""Pull with PreLoad""","  """"",,
,TimeLimit,10000,"  ""s""",,
,SampleID," ""15-0257""","  """"",,
,_SampleName," ""15-0257-Pull with PreLoad""","  """"",,
,BeginSpecimen,,,,
,,SpecimanName," ""A7""","  """"",
,,Comment," """"","  """"",
,,Break,442,"  """"",
,,Displacement_Peak_Load,34.595,"  ""mm""",
,,Displacement_Peak_Load2,1.362,"  ""in""",
,,LoadCellCapacity,200000,"  ""N""",
,,Peak,414,"  """"",
,,PeakLoad,12442,"  ""N""",
,,PeakLoad2,2797,"  ""lbf""",
,,BeginData,,,
,,,_Load, _Time, SlackExt
,,,N," ""s"""," ""mm"""
,,,8040.34,22,18.262
,,,8076.34,22.1,18.345
,,,8112.45,22.2,18.428
,,,8147.58,22.3,18.512
,,,8184.05,22.4,18.595
,,,8217.91,22.5,18.678
,,,8252.68,22.6,18.762
,,,8287.05,22.7,18.845
,,,8321.63,22.8,18.928
,,,8356.4,22.9,19.012
,,,8390.87,23,19.095
,,,8425.45,23.1,19.178
,,,8459.87,23.2,19.262
,,,8494.95,23.3,19.345
,,,8528.35,23.4,19.428
,,,8562.77,23.5,19.512
,,,8596.06,23.6,19.595
,,,8629.71,23.7,19.678
,,,8664.54,23.8,19.762
,,,8697.28,23.9,19.845
,,,8731.18,24,19.928
,,,8764.07,24.1,20.012
,,,8797.41,24.2,20.095
,,,8830.2,24.3,20.178
,,,8863.24,24.4,20.262
,,,8895.81,24.5,20.345
,,,8929.37,24.6,20.428
,,,8960.92,24.7,20.512
,,,8994.93,24.8,20.595
,,,9027.1,24.9,20.678
,,,9059.32,25,20.762
,,,9091.59,25.1,20.845
,,,9123.61,25.2,20.928
,,,9155.88,25.3,21.012
,,,9187.38,25.4,21.095
,,,9218.53,25.5,21.179
,,,9250.7,25.6,21.262
,,,9281.39,25.7,21.345
,,,9312.94,25.8,21.428
,,,9343.83,25.9,21.512
,,,9376.1,26,21.595
,,,9408.32,26.1,21.678
,,,9439.78,26.2,21.762
,,,9470.52,26.3,21.845
,,,9501.61,26.4,21.928
,,,9532.45,26.5,22.012
,,,9562.52,26.6,22.095
,,,9592.9,26.7,22.178
,,,9622.36,26.8,22.262
,,,9654.02,26.9,22.345
,,,9683.43,27,22.428
,,,9714.67,27.1,22.512
,,,9743.88,27.2,22.595
,,,9773.59,27.3,22.678
,,,9804.69,27.4,22.762
,,,9834.4,27.5,22.845
,,,9863.55,27.6,22.928
,,,9893.01,27.7,23.012
,,,9922.32,27.8,23.095
,,,9951.57,27.9,23.178
,,,9980.98,28,23.262
,,,10009.11,28.1,23.345
,,,10038.41,28.2,23.428
,,,10066.65,28.3,23.512
,,,10095.85,28.4,23.595
,,,10123.98,28.5,23.678
,,,10152.77,28.6,23.762
,,,10179.67,28.7,23.845
,,,10212.25,28.8,23.928
,,,10243.55,28.9,24.012
,,,10271.88,29,24.095
,,,10299.45,29.1,24.178
,,,10328.19,29.2,24.262
,,,10355.35,29.3,24.345
,,,10383.43,29.4,24.428
,,,10411.12,29.5,24.512
,,,10437.9,29.6,24.595
,,,10465.46,29.7,24.678
,,,10491.34,29.8,24.762
,,,10519.52,29.9,24.845
,,,10545.5,30,24.928
,,,10572.71,30.1,25.011
,,,10599.92,30.2,25.095
,,,10625.85,30.3,25.178
,,,10652.44,30.4,25.262
,,,10678.89,30.5,25.345
,,,10704.97,30.6,25.428
,,,10729.26,30.7,25.512
,,,10754.17,30.8,25.595
,,,10780.66,30.9,25.678
,,,10807,31,25.761
,,,10832.16,31.1,25.845
,,,10858.5,31.2,25.928
,,,10882.64,31.3,26.012
